,pred,pred_score,y
TCGA-43-A475-01,0.0,0.0018786925356835127,0
TCGA-CN-6998-01,0.0,0.00036233363789506257,0
TCGA-BR-8360-01,0.0,0.0014035578351467848,0
TCGA-CK-4947-01,0.0,0.11039761453866959,0
TCGA-XF-A9T2-01,0.0,0.03625509887933731,0
TCGA-IG-A3YA-01,0.0,0.008694274351000786,0
TCGA-2Z-A9JN-01,0.0,0.03324899077415466,0
TCGA-36-2552-01,0.0,0.0001793848059605807,0
TCGA-EE-A2GC-06,1.0,0.9995678663253784,1
TCGA-B8-5552-01,0.0,0.002974187955260277,0
TCGA-DU-6399-01,0.0,0.021345729008316994,0
TCGA-5P-A9JV-01,0.0,0.015481232665479183,0
TCGA-HC-7213-01,0.0,0.005297421477735043,0
TCGA-J4-A67Q-01,0.0,0.034055061638355255,0
TCGA-SP-A6QF-01,0.0,0.005316893570125103,0
TCGA-QF-A5YT-01,0.0,0.040964022278785706,0
TCGA-BR-6801-01,0.0,0.012898853980004787,0
TCGA-EJ-A7NM-01,0.0,0.02216801792383194,0
TCGA-C5-A1MJ-01,0.0,0.05066487565636635,0
TCGA-BS-A0T9-01,0.0,0.011547064408659935,0
TCGA-WT-AB44-01,0.0,0.005725241731852293,0
TCGA-AG-3592-01,0.0,0.002011555479839444,0
TCGA-SC-A6LR-01,0.0,0.1975894570350647,0
TCGA-98-8021-01,0.0,0.017250746488571167,0
TCGA-32-2495-01,0.0,0.13786646723747253,0
TCGA-DX-A23Y-01,0.0,0.00015664934471715242,0
TCGA-E2-A570-01,0.0,0.04423939436674118,0
TCGA-A6-A565-01,0.0,0.025773096829652786,0
TCGA-XF-AAMR-01,0.0,0.27942249178886414,0
TCGA-F2-7273-01,0.0,0.040531713515520096,0
TCGA-KK-A7B1-01,0.0,0.012038436718285084,0
TCGA-AA-3947-01,0.0,0.15332993865013123,0
TCGA-2G-AAGI-01,0.0,0.07882705330848694,0
TCGA-W5-AA2W-01,0.0,0.049411334097385406,0
TCGA-06-0168-01,0.0,0.0651678666472435,0
TCGA-W2-A7HF-01,0.0,0.005345065146684647,0
TCGA-E1-A7YH-01,0.0,0.01098615676164627,0
TCGA-G3-A5SI-01,0.0,0.008666896261274815,0
TCGA-BA-5555-01,0.0,0.051898062229156494,0
TCGA-BG-A0VW-01,0.0,0.03287636861205101,0
TCGA-GM-A2DI-01,0.0,0.0047118994407355785,0
TCGA-XF-AAME-01,0.0,0.019038241356611252,0
TCGA-3S-A8YW-01,0.0,0.0030425195582211018,0
TCGA-GH-A9DA-01,0.0,0.013162005692720413,0
TCGA-G7-6792-01,0.0,0.08189743012189865,0
TCGA-H9-A6BX-01,0.0,0.04126192256808281,0
TCGA-91-6848-01,0.0,0.0011492063058540225,0
TCGA-UB-A7MA-01,0.0,0.008150259032845497,0
TCGA-ZM-AA0B-01,0.0,0.041453976184129715,0
TCGA-BR-4280-01,0.0,0.1089579164981842,0
TCGA-A4-7734-01,0.0,0.04129209369421005,0
TCGA-G3-AAV1-01,0.0,0.13312910497188568,0
TCGA-EL-A3CR-01,0.0,0.0592116042971611,0
TCGA-QC-A6FX-01,0.0,0.030074892565608025,0
TCGA-EI-6884-01,0.0,0.003083921503275633,0
TCGA-69-7979-01,0.0,0.0011423019459471107,0
